,symbol,name,currency,exchange,mic_code,country,type
32417,ADCOF,Adcore Inc.,USD,OTC,Pink,United States,Common Stock
32425,ADCV,"AD Capital U.S., Inc.",USD,OTC,Grey,United States,Common Stock
32433,ADDC,Addmaster Corp.,USD,OTC,Pink,United States,Common Stock
32434,ADDDF,adidas AG,USD,OTC,OTCQX,United States,Common Stock
32437,ADDLF,ADDLIFE AB,USD,OTC,Pink,United States,Common Stock
32442,ADDYY,adidas AG,USD,OTC,OTCQX,United States,American Depositary Receipt
32452,ADEC,Alternative Energy Development Corp.,USD,OTC,Expert Market,United States,Common Stock
32467,ADEVF,ADEVINTA ASA,USD,OTC,Pink,United States,Common Stock
32474,ADFJF,ADF Group Inc.,USD,OTC,Grey,United States,Common Stock
32475,ADFS,"American Defense Systems, Inc.",USD,OTC,Pink,United States,Common Stock
32481,ADGCF,ADVANCE LITHIUM CORP,USD,OTC,Pink,United States,Common Stock
32483,ADGL,"AllDigital Holdings, Inc.",USD,OTC,Expert Market,United States,Common Stock
32484,ADGO,Advantego Corporation,USD,OTC,Pink,United States,Common Stock
32493,ADHC,American Diversified Holdings Corp.,USD,OTC,Pink,United States,Common Stock
32494,ADHI,Arsenal Digital Holdings Inc.,USD,OTC,Pink,United States,Common Stock
32496,ADHLF,Applied Development Holdings Ltd.,USD,OTC,Grey,United States,Common Stock
32504,ADIA,"Adia Nutrition, Inc.",USD,OTC,Pink,United States,Common Stock
32528,ADKCF,Adeka Corporation,USD,OTC,Pink,United States,Common Stock
32530,ADKT,"Adirondack Trust Co. (Saratoga Springs, NY)",USD,OTC,Pink,United States,Common Stock
32536,ADLDY,Adelaide Brighton Ltd.,USD,OTC,Pink,United States,American Depositary Receipt
32537,ADLI,"American Medical Technologies, Inc.",USD,OTC,Pink,United States,Common Stock
32553,ADMG,Adamant DRI Processing and Minerals Group,USD,OTC,Pink,United States,Common Stock
32556,ADMLF,Adriatic Metals PLC,USD,OTC,Pink,United States,Common Stock
32558,ADMQ,ADM Endeavors Inc.,USD,OTC,OTCQB,United States,Common Stock
32561,ADMT,"ADM Tronics Unlimited, Inc.",USD,OTC,OTCQB,United States,Common Stock
32585,ADOCY,Adocia ACT,USD,OTC,Pink,United States,American Depositary Receipt
32586,ADOOY,Adaro Energy PT,USD,OTC,Pink,United States,American Depositary Receipt
32601,ADPPF,Adler Group S.A.,USD,OTC,Pink,United States,Common Stock
32605,ADPXY,Audio Pixels Holdings Ltd,USD,OTC,Pink,United States,American Depositary Receipt
32614,ADRNY,Koninklijke Ahold Delhaize N.V.,USD,OTC,OTCQX,United States,American Depositary Receipt
32620,ADRZF,Andritz AG,USD,OTC,Pink,United States,Common Stock
32621,ADRZY,Andritz AG,USD,OTC,Pink,United States,American Depositary Receipt
32644,ADSGF,ADESSO AG,USD,OTC,Pink,United States,Common Stock
32652,ADST,"AdStar, Inc.",USD,OTC,Grey,United States,Common Stock
32654,ADSV,"Allied Security Innovations, Inc.",USD,OTC,Pink,United States,Common Stock
32660,ADTC,"Advanced Deposition Technologies, Inc.",USD,OTC,Pink,United States,Common Stock
32661,ADTFF,Imetal Res Inc.,USD,OTC,Pink,United States,Common Stock
32664,ADTLF,Adriatic Metals PLC,USD,OTC,Pink,United States,Common Stock
32665,ADTM,"Adaptive Medias, Inc.",USD,OTC,Pink,United States,Common Stock
32669,ADTTF,Advantest Corp.,USD,OTC,Pink,United States,Common Stock
32698,ADVOF,ADVA AG Optical Networking,USD,OTC,Pink,United States,Common Stock
32701,ADVT,Advantis Corporation,USD,OTC,Expert Market,United States,Common Stock
32704,ADVZF,Adventus Mng Corp.,USD,OTC,OTCQX,United States,Common Stock
32710,ADWPF,Andrew Peller Ltd.,USD,OTC,Grey,United States,Common Stock
32716,ADXDF,"Adex Mining, Inc.",USD,OTC,Grey,United States,Common Stock
32719,ADXRF,ADX Energy Ltd.,USD,OTC,Pink,United States,Common Stock
32731,ADYEY,Adyen N.V.,USD,OTC,Pink,United States,American Depositary Receipt
32732,ADYRF,Adyton Resources Corporation,USD,OTC,Pink,United States,Common Stock
32733,ADYX,"Adynxx, Inc.",USD,OTC,OTCQB,United States,Common Stock
32734,ADYYF,Adyen N.V.,USD,OTC,Pink,United States,Common Stock
32739,ADZZF,Advance Residence Investment Corporation,USD,OTC,Pink,United States,Common Stock
32757,AEBZY,Anadolu Efes Biracilik Ve Malt AS,USD,OTC,Pink,United States,American Depositary Receipt
32764,AECFF,Action Energy Inc.,USD,OTC,Grey,United States,Common Stock
32766,AECX,CurrentC Power Corporation,USD,OTC,Pink,United States,Common Stock
32772,AEDC,American Energy Development Corp.,USD,OTC,Expert Market,United States,Common Stock
32773,AEDFF,"Aedifica Sicafi, Bruxelles",USD,OTC,Pink,United States,Common Stock
32779,AEEI,"American Environmental Energy, Inc.",USD,OTC,Pink,United States,Common Stock
32781,AEEX,"Asia Equity Exchange Group, Inc.",USD,OTC,Pink,United States,Common Stock
32798,AEGOF,Aegon N.V.,USD,OTC,Pink,United States,Common Stock
32799,AEGXF,Aecon Group Inc.,USD,OTC,Pink,United States,Common Stock
32800,AEGY,Alternative Energy Partners Inc.,USD,OTC,Expert Market,United States,Common Stock
32820,AELTF,Adacel Technologies Limited,USD,OTC,Pink,United States,Common Stock
32825,AEMMF,A2A SpA,USD,OTC,Grey,United States,Common Stock
32826,AEMMY,A2A SpA,USD,OTC,Pink,United States,American Depositary Receipt
32837,AENG,"Advanced Engine Technologies, Inc.",USD,OTC,Expert Market,United States,Common Stock
32847,AEOXF,Aeroports de Paris ADP,USD,OTC,Pink,United States,Common Stock
32858,AEPLF,Anglo Eastern Plantation plc,USD,OTC,Pink,United States,Common Stock
32860,AEPT,"American Energy Partners, Inc.",USD,OTC,Pink,United States,Common Stock
32867,AERG,"Applied Energetics, Inc.",USD,OTC,OTCQB,United States,Common Stock
32870,AERN,"AER Energy Resources, Inc.",USD,OTC,Expert Market,United States,Common Stock
32876,AERS,Aerius,USD,OTC,Pink,United States,Common Stock
32887,AESO,"Atlantic Energy Solutions, Inc.",USD,OTC,Grey,United States,Common Stock
32891,AETLF,Aeris Environmental Ltd,USD,OTC,Grey,United States,Common Stock
32892,AETUF,Arc Resources Ltd.,USD,OTC,Pink,United States,Common Stock
32903,AEXAF,Atos Origin SA,USD,OTC,Pink,United States,Common Stock
32904,AEXAY,Atos Origin SA,USD,OTC,Pink,United States,American Depositary Receipt
32905,AEXE,Aim Exploration Inc.,USD,OTC,Pink,United States,Common Stock
32906,AEXFF,Aminex PLC,USD,OTC,Pink,United States,Common Stock
32934,AFBG,"American Fiber Green Products, Inc.",USD,OTC,Pink,United States,Common Stock
32936,AFBOF,African Rainbow Minerals Ltd.,USD,OTC,Pink,United States,Common Stock
32941,AFCL,AMCOR FINANCIAL CORP,USD,OTC,Pink,United States,Common Stock
32944,AFDG,African Discovery Group Inc.,USD,OTC,Pink,United States,Common Stock
32950,AFFCF,AMERICAN FUTURE FUEL CORP.,USD,OTC,Pink,United States,Common Stock
32951,AFFL,Affiliated Resources Corp.,USD,OTC,Grey,United States,Common Stock
32954,AFFN,"Affinity Networks, Inc.",USD,OTC,Grey,United States,Common Stock
32956,AFFS,"AmTrust Financial Services, Inc.",USD,OTC,Pink,United States,Common Stock
32957,AFFT,"AmTrust Financial Services, Inc.",USD,OTC,Pink,United States,Common Stock
32958,AFFU,Affluence Corp.,USD,OTC,Pink,United States,Common Stock
32959,AFFY,"Affymax, Inc.",USD,OTC,Pink,United States,Common Stock
32971,AFGVF,Agfa-Gavaert NV,USD,OTC,Grey,United States,Common Stock
32972,AFGVY,Agfa-Gavaert NV,USD,OTC,Pink,United States,American Depositary Receipt
32973,AFGYF,AFC Energy plc,USD,OTC,Pink,United States,Common Stock
32976,AFHIF,"Atlas Financial Holdings, Inc.",USD,OTC,Pink,United States,Common Stock
32982,AFIIQ,Armstrong Flooring Inc,USD,OTC,Pink,United States,Common Stock
32983,AFIPA,AMFI Corp.,USD,OTC,Pink,United States,Common Stock
32999,AFLYY,Air France-KLM,USD,OTC,Pink,United States,American Depositary Receipt
33004,AFMJF,Alphamin Resources Corp.,USD,OTC,Pink,United States,Common Stock
33005,AFML,"Aerofoam Metals, Inc.",USD,OTC,Grey,United States,Common Stock
33009,AFNL,Amfin Financial Corp.,USD,OTC,Pink,United States,Common Stock
33014,AFOM,All For One Media Corp.,USD,OTC,Pink,United States,Common Stock
33020,AFPW,AlumiFuel Power Corp.,USD,OTC,Pink,United States,Common Stock
33028,AFRAF,Air France-KLM,USD,OTC,Pink,United States,Common Stock
