,symbol,name,currency,exchange,mic_code,country,type
209,000581,"Weifu High-Technology Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
210,000582,"Beibu Gulf Port Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
211,000584,"Jiangsu Hagong Intelligent Robot Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
212,000586,"Sichuan Huiyuan Optical Communication Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
213,000587,"Jinzhou Cihang Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
214,000589,"Guizhou Tyre Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
215,000590,"Tus-Pharmaceutical Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
217,000591,"CECEP Solar Energy Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
218,000592,Zhongfu Straits ,CNY,SZSE,XSHE,China,Common Stock
219,000593,"Sichuan Datong Gas Development Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
220,000595,"Baota Industry Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
221,000596,"Anhui Gujing Distillery Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
222,000597,"Northeast Pharmaceutical Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
223,000598,"Chengdu Xingrong Environment Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
224,000599,"Qingdao Doublestar Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
227,000600,"Jointo Energy Investment Co., Ltd. Hebei",CNY,SZSE,XSHE,China,Common Stock
228,000601,"Guangdong Shaoneng Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
229,000603,"Shengda Resources Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
230,000605,"Bohai Water Industry Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
231,000606,"Shunliban Information Service Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
232,000607,"Zhejiang Huamei Holding CO., LTD.",CNY,SZSE,XSHE,China,Common Stock
233,000608,"Yang Guang Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
234,000609,"Beijing Zodi Investment Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
235,000610,"Xi'an Tourism Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
236,000612,"JiaoZuo WanFang Aluminum Manufacturing Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
237,000615,"Aoyuan Beauty Valley Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
238,000616,"HNA Investment Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
239,000617,CNPC Capital Company Limited,CNY,SZSE,XSHE,China,Common Stock
240,000619,"Wuhu Conch Profiles and Science Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
241,000620,"Macrolink Culturaltainment Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
242,000622,"Hengli Industrial Development Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
243,000623,"Jilin Aodong Pharmaceutical Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
244,000625,Chongqing Changan Automobile Company Limited,CNY,SZSE,XSHE,China,Common Stock
245,000626,"Grand Industrial Holding Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
246,000627,"Hubei Biocause Pharmaceutical Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
247,000628,"ChengDu Hi-Tech Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
248,000629,"Pangang Group Vanadium & Titanium Resources Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
249,000630,"Tongling Nonferrous Metals Group Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
250,000631,Shunfa Hengye Corporation,CNY,SZSE,XSHE,China,Common Stock
251,000632,"Fujian Sanmu Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
252,000633,"Xinjiang Hejin Holding Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
253,000635,"Ningxia Yinglite Chemicals Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
254,000636,Guangdong Fenghua Advanced Technology ,CNY,SZSE,XSHE,China,Common Stock
255,000637,"Maoming Petro-Chemical Shihua Co., Ltd",CNY,SZSE,XSHE,China,Common Stock
256,000638,"Vanfund Urban Investment and Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
257,000639,"Xiwang Foodstuffs Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
259,000650,"Renhe Pharmacy Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
261,000651,"Gree Electric Appliances, Inc. of Zhuhai",CNY,SZSE,XSHE,China,Common Stock
262,000652,"Tianjin Teda Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
263,000655,"Shandong Jinling Mining Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
264,000656,"Jinke Property Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
265,000657,"China Tungsten and Hightech Materials Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
266,000659,"Zhuhai Zhongfu Enterprise Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
268,000661,Changchun High & New Technology Industry ,CNY,SZSE,XSHE,China,Common Stock
269,000663,Fujian Yongan Forestry ,CNY,SZSE,XSHE,China,Common Stock
270,000665,"Hubei Radio & Television Information Network Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
271,000666,Jingwei Textile Machinery Company Limited,CNY,SZSE,XSHE,China,Common Stock
272,000667,"Myhome Real Estate Development Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
