,symbol,name,currency,exchange,mic_code,country,type
90527,RNAVAL,Reliance Naval and Engineering Limited,INR,NSE,XNSE,India,Common Stock
90529,RNBDENIMS,R & B Denims Limited,INR,BSE,XBOM,India,Common Stock
90693,RODIUM,Rodium Realty Limited,INR,BSE,XBOM,India,Common Stock
90711,ROHLTD,Royal Orchid Hotels Limited,INR,BSE,XBOM,India,Common Stock
90712,ROHLTD,Royal Orchid Hotels Limited,INR,NSE,XNSE,India,Common Stock
90723,ROJL,RO Jewels Limited,INR,BSE,XBOM,India,Common Stock
90739,ROLCOEN,ROLCON ENGINEERING CO.LTD.,INR,BSE,XBOM,India,Common Stock
90740,ROLEXRINGS,Rolex Rings Limited,INR,BSE,XBOM,India,Common Stock
90741,ROLEXRINGS,Rolex Rings Limited,INR,NSE,XNSE,India,Common Stock
90744,ROLLT,Rollatainers Limited,INR,NSE,XNSE,India,Common Stock
90745,ROLLT,Rollatainers Limited,INR,BSE,XBOM,India,Common Stock
90747,ROLTA,Rolta India Limited,INR,NSE,XNSE,India,Common Stock
90748,ROLTA,Rolta India Limited,INR,BSE,XBOM,India,Common Stock
90760,ROML,Raj Oil Mills Limited,INR,NSE,XNSE,India,Common Stock
90766,RONI,Roni Households Limited,INR,BSE,XBOM,India,Common Stock
90782,ROOPAIND,Roopa Industries Limited,INR,BSE,XBOM,India,Common Stock
90783,ROOPSHRI,Roopshri Resorts Limited,INR,BSE,XBOM,India,Common Stock
90808,ROSELABS,Roselabs Finance Limited,INR,BSE,XBOM,India,Common Stock
90809,ROSEMER,ROSE MERC.LTD.,INR,BSE,XBOM,India,Common Stock
90823,ROSSARI,ROSSARI BIOTECH LIMITED,INR,BSE,XBOM,India,Common Stock
90824,ROSSARI,Rossari Biotech Limited,INR,NSE,XNSE,India,Common Stock
90825,ROSSELLIND,Rossell India Limited,INR,NSE,XNSE,India,Common Stock
90826,ROSSELLIND,Rossell India Limited,INR,BSE,XBOM,India,Common Stock
90843,ROTO,Roto Pumps Limited,INR,NSE,XNSE,India,Common Stock
90844,ROTO,Roto Pumps Limited,INR,BSE,XBOM,India,Common Stock
90851,ROUTE,Route Mobile Limited,INR,NSE,XNSE,India,Common Stock
90852,ROUTE,Route Mobile Limited,INR,BSE,XBOM,India,Common Stock
90870,ROYALCU,Royal Cushion Vinyl Products Limited,INR,BSE,XBOM,India,Common Stock
90871,ROYALIND,Royal India Corporation Limited,INR,BSE,XBOM,India,Common Stock
90897,RPEL,Raghav Productivity Enhancers Limited,INR,BSE,XBOM,India,Common Stock
90902,RPGLIFE,RPG Life Sciences Limited,INR,NSE,XNSE,India,Common Stock
90903,RPGLIFE,RPG Life Sciences Limited,INR,BSE,XBOM,India,Common Stock
90934,RPOWER,Reliance Power Limited,INR,BSE,XBOM,India,Common Stock
90935,RPOWER,Reliance Power Limited,INR,NSE,XNSE,India,Common Stock
90937,RPPINFRA,R.P.P. Infra Projects Limited,INR,NSE,XNSE,India,Common Stock
90938,RPPINFRA,R.P.P. Infra Projects Limited,INR,BSE,XBOM,India,Common Stock
90939,RPPL,Rajshree Polypack Limited,INR,NSE,XNSE,India,Common Stock
90945,RPSGVENT,RPSG Ventures Limited,INR,NSE,XNSE,India,Common Stock
90946,RPSGVENT,RPSG VENTURES LIMITED,INR,BSE,XBOM,India,Common Stock
90986,RRIL,RRIL LIMITED,INR,BSE,XBOM,India,Common Stock
90992,RRMETAL,RR METALMAKERS INDIA LIMITED,INR,BSE,XBOM,India,Common Stock
91050,RSCINT,RSC International Limited,INR,BSE,XBOM,India,Common Stock
91053,RSDFIN,RSD Finance Limited,INR,BSE,XBOM,India,Common Stock
91121,RSSOFTWARE,R S Software ,INR,NSE,XNSE,India,Common Stock
91122,RSSOFTWARE,R S Software ,INR,BSE,XBOM,India,Common Stock
91140,RSWM,RSWM Limited,INR,NSE,XNSE,India,Common Stock
91141,RSWM,RSWM Limited,INR,BSE,XBOM,India,Common Stock
91142,RSWM.RE,RSWM Limited,INR,NSE,XNSE,India,Common Stock
91143,RSWM.RE,RSWM Limited,INR,BSE,XBOM,India,Common Stock
91145,RSYSTEMINT,R Systems International Limited,INR,BSE,XBOM,India,Common Stock
91146,RSYSTEMS,R Systems International Limited,INR,NSE,XNSE,India,Common Stock
91164,RTEXPO,R.T. Exports Limited,INR,BSE,XBOM,India,Common Stock
91165,RTFL,Real Touch Finance Limited,INR,BSE,XBOM,India,Common Stock
91205,RTNINDIA,RattanIndia Enterprises Limited,INR,NSE,XNSE,India,Common Stock
91206,RTNINDIA,RATTANINDIA ENTERPRISES LIMITE,INR,BSE,XBOM,India,Common Stock
91207,RTNPOWER,RattanIndia Power Limited,INR,BSE,XBOM,India,Common Stock
91208,RTNPOWER,RattanIndia Power Limited,INR,NSE,XNSE,India,Common Stock
91236,RTSPOWR,RTS Power Corporation Limited,INR,BSE,XBOM,India,Common Stock
91259,RUBFILA,Rubfila International Limited,INR,BSE,XBOM,India,Common Stock
91263,RUBRAME,Rubra Medicaments Limited,INR,BSE,XBOM,India,Common Stock
91266,RUBYMILLS,The Ruby Mills Limited,INR,BSE,XBOM,India,Common Stock
91267,RUBYMILLS,The Ruby Mills Limited,INR,NSE,XNSE,India,Common Stock
91270,RUCHI,Ruchi Soya Industries Limited,INR,NSE,XNSE,India,Common Stock
91271,RUCHINFRA,Ruchi Infrastructure Limited,INR,BSE,XBOM,India,Common Stock
91272,RUCHINFRA,Ruchi Infrastructure Limited,INR,NSE,XNSE,India,Common Stock
91273,RUCHIRA,Ruchira Papers Limited,INR,NSE,XNSE,India,Common Stock
91274,RUCHIRA,Ruchira Papers Limited,INR,BSE,XBOM,India,Common Stock
91275,RUCHISOYA,Ruchi Soya Industries Limited,INR,BSE,XBOM,India,Common Stock
91277,RUDRA,Rudra Global Infra Products Limited,INR,BSE,XBOM,India,Common Stock
91295,RUNGTAIR,Rungta Irrigation Limited,INR,BSE,XBOM,India,Common Stock
91296,RUNGTAPP,Rungta Irrigation Ltd.,INR,BSE,XBOM,India,Common Stock
91303,RUPA,Rupa & Company Limited,INR,BSE,XBOM,India,Common Stock
91304,RUPA,Rupa & Company Limited,INR,NSE,XNSE,India,Common Stock
91312,RUSHIL,Rushil Decor Limited,INR,NSE,XNSE,India,Common Stock
91313,RUSHIL,Rushil Decor Limited,INR,BSE,XBOM,India,Common Stock
91317,RUSTOMJEE,Keystone Realtors Limited,INR,NSE,XNSE,India,Common Stock
91318,RUSTOMJEE,Keystone Realtors Limited,INR,BSE,XBOM,India,Common Stock
91334,RVHL,Ravinder Heights Limited,INR,NSE,XNSE,India,Common Stock
91335,RVHL,Ravinder Heights Limited,INR,BSE,XBOM,India,Common Stock
91352,RVNL,Rail Vikas Nigam Limited,INR,NSE,XNSE,India,Common Stock
91353,RVNL,Rail Vikas Nigam Limited,INR,BSE,XBOM,India,Common Stock
91907,SAB,SAB Industries Limited,INR,BSE,XBOM,India,Common Stock
91911,SABAR.SM,SABAR FLEX INDIA L,INR,NSE,XNSE,India,Common Stock
91916,SABEVENTS,SAB Events & Governance Now Media Ltd,INR,NSE,XNSE,India,Common Stock
91924,SABOOBR,Saboo Brothers Limited,INR,BSE,XBOM,India,Common Stock
91925,SABOOSOD,Saboo Sodium Chloro Limited,INR,BSE,XBOM,India,Common Stock
91930,SABTN,Sri Adhikari Brothers Television Network Limited,INR,BSE,XBOM,India,Common Stock
91931,SABTN,Sri Adhikari Brothers Television Network Limited,INR,NSE,XNSE,India,Common Stock
91939,SACHEMT,Sacheta Metals Limited,INR,BSE,XBOM,India,Common Stock
91942,SADBHAV,Sadbhav Engineering Limited,INR,NSE,XNSE,India,Common Stock
91943,SADBHAV,Sadbhav Engineering Limited,INR,BSE,XBOM,India,Common Stock
91944,SADBHIN,Sadbhav Infrastructure Project Limited,INR,BSE,XBOM,India,Common Stock
91945,SADBHIN,Sadbhav Infrastructure Project Limited,INR,NSE,XNSE,India,Common Stock
91954,SADHNA,Sadhna Broadcast Limited,INR,BSE,XBOM,India,Common Stock
91955,SADHNANIQ,Sadhana Nitro Chem Limited,INR,BSE,XBOM,India,Common Stock
91970,SAENTER,South Asian Enterprises Limited,INR,BSE,XBOM,India,Common Stock
91977,SAFARI,Safari Industries ,INR,NSE,XNSE,India,Common Stock
91978,SAFARIND,Safari Industries ,INR,BSE,XBOM,India,Common Stock
91982,SAFFRON,Saffron Industries Limited,INR,BSE,XBOM,India,Common Stock
92001,SAGAR,Sagar Diamonds Limited,INR,BSE,XBOM,India,Common Stock
92002,SAGARDEEP,Sagardeep Alloys Limited,INR,NSE,XNSE,India,Common Stock
92003,SAGARPROD,Sagar Productions Limited,INR,BSE,XBOM,India,Common Stock
92004,SAGARSOFT,Sagarsoft ,INR,BSE,XBOM,India,Common Stock
92006,SAGCEM,Sagar Cements Limited,INR,BSE,XBOM,India,Common Stock
92007,SAGCEM,Sagar Cements Limited,INR,NSE,XNSE,India,Common Stock
